step,PNA,PRD,ABS,PRI,PAN,
0.074,156,2440,197,2757,1850,
0.0741,157,2442,198,2760,1853,
0.0742,157,2447,199,2762,1855,
0.0743,157,2450,199,2767,1857,
0.0744,157,2452,199,2773,1859,
0.0745,158,2452,200,2777,1863,
0.0746,158,2457,200,2781,1864,
0.0747,159,2461,200,2784,1866,
0.0748,159,2463,200,2787,1871,
0.0749,159,2466,200,2794,1871,
0.075,160,2470,200,2797,1873,
0.0751,160,2472,200,2800,1878,
0.0752,160,2474,200,2803,1883,
0.0753,161,2477,200,2807,1885,
0.0754,161,2478,201,2810,1890,
0.0755,161,2482,201,2815,1891,
0.0756,161,2483,201,2821,1894,
0.0757,161,2483,201,2825,1900,
0.0758,161,2485,201,2829,1904,
0.0759,162,2489,201,2833,1905,
0.076,162,2492,201,2838,1907,
0.0761,162,2497,201,2841,1909,
0.0762,162,2502,201,2845,1910,
0.0763,163,2504,201,2849,1913,
0.0764,164,2506,201,2851,1918,
0.0765,164,2508,201,2855,1922,
0.0766,164,2511,201,2858,1926,
0.0767,165,2513,202,2861,1929,
0.0768,165,2518,203,2862,1932,
0.0769,165,2522,203,2864,1936,
0.077,165,2524,203,2868,1940,
0.0771,165,2528,203,2872,1942,
0.0772,166,2530,203,2876,1945,
0.0773,166,2532,203,2881,1948,
0.0774,168,2533,203,2883,1953,
0.0775,168,2537,204,2886,1955,
0.0776,169,2541,204,2888,1958,
0.0777,169,2545,204,2892,1960,
0.0778,169,2547,204,2899,1961,
0.0779,170,2547,204,2902,1967,
0.078,170,2550,204,2904,1972,
0.0781,170,2553,204,2907,1976,
0.0782,170,2557,205,2908,1980,
0.0783,170,2561,206,2913,1980,
0.0784,170,2565,206,2917,1982,
0.0785,170,2568,206,2920,1986,
